siteID,plotID,nlcdClass,NPP_Mg_ha_yr
BART,BART_036,deciduousForest,3.714467687
BART,BART_040,deciduousForest,2.570517328
BART,BART_042,deciduousForest,3.888554761
BART,BART_071,mixedForest,2.855177417
BART,BART_073,mixedForest,3.787325507
GRSM,GRSM_048,deciduousForest,3.16433401
GRSM,GRSM_052,mixedForest,5.267291078
GRSM,GRSM_053,deciduousForest,11.872384
GRSM,GRSM_054,deciduousForest,2.77101428
GRSM,GRSM_055,deciduousForest,6.525935031
GRSM,GRSM_057,deciduousForest,4.191545435
GRSM,GRSM_060,deciduousForest,6.419347757
GRSM,GRSM_063,deciduousForest,11.31903871
GRSM,GRSM_064,deciduousForest,6.374678193
GRSM,GRSM_065,deciduousForest,3.919920068
GRSM,GRSM_066,deciduousForest,3.490074059
ORNL,ORNL_036,deciduousForest,7.549981855
ORNL,ORNL_037,deciduousForest,4.113852106
ORNL,ORNL_043,deciduousForest,4.446892109
ORNL,ORNL_045,deciduousForest,3.181200851
ORNL,ORNL_046,deciduousForest,3.336683849
RMNP,RMNP_041,evergreenForest,1.962838191
RMNP,RMNP_042,evergreenForest,2.275714888
RMNP,RMNP_043,evergreenForest,2.486060996
RMNP,RMNP_044,evergreenForest,1.999034779
RMNP,RMNP_045,evergreenForest,3.797321195
TALL,TALL_042,evergreenForest,3.602456516
TALL,TALL_044,evergreenForest,6.314412741
TALL,TALL_047,evergreenForest,6.873540027
TALL,TALL_054,evergreenForest,3.822460845
TALL,TALL_055,deciduousForest,3.175965689
UNDE,UNDE_043,deciduousForest,3.955057598
UNDE,UNDE_044,mixedForest,4.498946651
UNDE,UNDE_045,deciduousForest,5.086313271
UNDE,UNDE_047,deciduousForest,2.711779934
UNDE,UNDE_048,mixedForest,2.802054613
UNDE,UNDE_049,mixedForest,3.939119308
UNDE,UNDE_052,mixedForest,4.514541053
UNDE,UNDE_054,deciduousForest,3.252500301
UNDE,UNDE_056,deciduousForest,5.866588865
UNDE,UNDE_058,deciduousForest,3.857232495
UNDE,UNDE_060,deciduousForest,1.183628697
UNDE,UNDE_065,mixedForest,4.528070873
UNDE,UNDE_078,mixedForest,2.206576284
WREF,WREF_073,evergreenForest,4.660546263
WREF,WREF_074,evergreenForest,1.763722238
WREF,WREF_075,evergreenForest,3.461222197
WREF,WREF_076,evergreenForest,1.508803635
WREF,WREF_077,evergreenForest,0.468657483
